TransactionNumber,Timestamp,AccountNumber,TransactionType,Amount,Currency,Description,TransactionStatus,TransactionMethod,TransactionOrigin,TransactionReferenceNumber,DestinationAccountID,DestinationCustomerName,DestinationBankID,DestinationCountry,TransactionFees,TransactionAuthorizationMethod,TransactionLocation,money_laundering,CustomerName
1000000000,2023-12-01 22:18:37,1000000016,Transfer,258.0,AUD,Fund Transfer,Completed,Online,Mobile Banking,REF1000007515,1000000020,Kevin Walker,BSB012345,Australia,2.06,Authentication,"Sydney, Australia",1,
1000000001,2023-12-02 09:30:00,1000000016,Transfer,258.0,AUD,Fund Transfer,Completed,Online,Mobile Banking,REF1000007516,1000000021,Carol Scott,BSB123456,Australia,2.06,Authentication,"Sydney, Australia",1,
1000000002,2023-12-03 08:15:00,1000000016,Transfer,258.0,AUD,Fund Transfer,Completed,Online,Mobile Banking,REF1000007518,1000000022,Joseph Young,BSB123457,Australia,2.06,Authentication,"Sydney, Australia",1,
1000000003,2023-12-04 10:10:00,1000000016,Transfer,258.0,AUD,Fund Transfer,Completed,Online,Mobile Banking,REF1000007520,1000000023,Sharon Hall,BSB123458,Australia,2.06,Authentication,"Sydney, Australia",1,
1000000004,2023-12-06 18:46:24,1000000019,Transfer,1850.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007608,1000000049,Karen Lewis,BSB901234,Australia,18.5,Authentication,"Sydney, Australia",1,
1000000005,2023-12-06 18:46:24,1000000049,Transfer,1850.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007608,1000000019,Susan Martin,BSB901234,Australia,18.5,Authentication,"Sydney, Australia",1,
1000000006,2023-12-07 09:15:42,1000000026,Transfer,1740.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007609,1000000049,Karen Lewis,BSB901234,Australia,17.4,Authentication,"Sydney, Australia",1,
1000000007,2023-12-08 10:30:00,1000000010,Transfer,1936.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007610,1000000049,Karen Lewis,BSB901234,Australia,19.36,Authentication,"Sydney, Australia",1,
1000000008,2023-12-09 14:22:00,1000000037,Transfer,1850.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007611,1000000049,Karen Lewis,BSB901234,Australia,18.5,Authentication,"Sydney, Australia",1,
1000000009,2023-12-11 08:30:00,1000000049,Transfer,850.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007613,1000000050,Jeremy Martin,BSB012345,Australia,8.5,Authentication,"Melbourne, Australia",1,
1000000010,2023-12-12 11:03:00,1000000049,Transfer,1760.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007614,1000000048,Jason Clark,BSB890123,Australia,17.6,Authentication,"Melbourne, Australia",1,
1000000011,2023-12-12 16:54:36,1000000033,Transfer,600.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007732,1000000017,Barbara White,BSB789012,Australia,6.0,Authentication,"Geraldton, Australia",1,
1000000012,2023-12-13 10:30:00,1000000017,Transfer,700.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007733,1000000035,Deborah Clark,BSB321654,Australia,7.0,Authentication,"Launceston, Australia",1,
1000000013,2023-12-13 13:40:00,1000000049,Transfer,1622.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007615,1000000047,Samantha White,BSB789012,Australia,16.22,Authentication,"Melbourne, Australia",1,
1000000014,2023-12-14 08:45:00,1000000035,Transfer,800.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007734,1000000025,Amy King,BSB123460,Australia,8.0,Authentication,"Kalgoorlie, Australia",1,
1000000015,2023-12-14 15:34:00,1000000049,Transfer,2000.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007616,1000000042,Timothy Moore,BSB234567,Australia,20.0,Authentication,"Melbourne, Australia",1,
1000000016,2023-12-15 14:20:00,1000000025,Transfer,900.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007735,1000000005,Sarah Jones,BSB567890,Australia,9.0,Authentication,"Wagga Wagga, Australia",1,
1000000017,2023-12-16 17:05:00,1000000005,Transfer,500.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007736,1000000015,Michelle King,BSB567890,Australia,5.0,Authentication,"Adelaide, Australia",1,
